RocksDB:    version 10.7.0
Date:       Thu Sep 11 12:25:07 2025
CPU:        48 * Intel(R) Xeon(R) Silver 4310 CPU @ 2.10GHz
CPUCache:   18432 KB
2025/09/11-12:39:38  ... thread 2: (961000,32436000) ops and (32008.6,37269.2) ops/second in (30.023183,870.315730) seconds
2025/09/11-12:39:38  ... thread 0: (966000,32157000) ops and (32190.6,36945.6) ops/second in (30.008779,870.387415) seconds
2025/09/11-12:39:38  ... thread 1: (976000,32492000) ops and (32514.9,37330.5) ops/second in (30.016997,870.388371) seconds
2025/09/11-12:39:38  ... thread 3: (966000,32377000) ops and (32165.3,37196.5) ops/second in (30.032366,870.431501) seconds
2025/09/11-12:40:08  ... thread 2: (948000,33384000) ops and (31582.7,37079.7) ops/second in (30.016392,900.332122) seconds
2025/09/11-12:40:08  ... thread 0: (956000,33113000) ops and (31864.5,36776.3) ops/second in (30.002073,900.389488) seconds
2025/09/11-12:40:08  ... thread 1: (950000,33442000) ops and (31637.1,37140.6) ops/second in (30.028058,900.416429) seconds
2025/09/11-12:40:08  ... thread 3: (933000,33310000) ops and (31094.4,36993.2) ops/second in (30.005410,900.436911) seconds
2025/09/11-12:40:38  ... thread 2: (945000,34329000) ops and (31498.0,36899.6) ops/second in (30.001952,930.334074) seconds
2025/09/11-12:40:38  ... thread 0: (945000,34058000) ops and (31496.1,36606.0) ops/second in (30.003752,930.393240) seconds
2025/09/11-12:40:38  ... thread 1: (946000,34388000) ops and (31530.0,36959.7) ops/second in (30.003129,930.419558) seconds
2025/09/11-12:40:38  ... thread 3: (932000,34242000) ops and (31038.0,36801.0) ops/second in (30.027678,930.464589) seconds
2025/09/11-12:41:08  ... thread 2: (901000,35230000) ops and (30016.6,36684.5) ops/second in (30.016691,960.350765) seconds
2025/09/11-12:41:08  ... thread 0: (899000,34957000) ops and (29942.5,36397.7) ops/second in (30.024232,960.417472) seconds
2025/09/11-12:41:08  ... thread 1: (902000,35290000) ops and (30057.1,36744.0) ops/second in (30.009536,960.429094) seconds
2025/09/11-12:41:08  ... thread 3: (893000,35135000) ops and (29747.5,36580.5) ops/second in (30.019333,960.483922) seconds
2025/09/11-12:41:38  ... thread 2: (879000,36109000) ops and (29283.0,36460.2) ops/second in (30.017426,990.368191) seconds
2025/09/11-12:41:38  ... thread 0: (897000,35854000) ops and (29890.8,36200.6) ops/second in (30.009238,990.426710) seconds
2025/09/11-12:41:38  ... thread 1: (905000,36195000) ops and (30158.1,36544.5) ops/second in (30.008565,990.437659) seconds
2025/09/11-12:41:38  ... thread 3: (889000,36024000) ops and (29616.8,36369.5) ops/second in (30.016741,990.500663) seconds
