minute,hour,concurrent_compactions
1739,28.9833,23
1740,29.0000,24
1741,29.0167,27
1742,29.0333,23
1743,29.0500,25
1744,29.0667,24
1745,29.0833,27
1746,29.1000,22
1747,29.1167,24
1748,29.1333,26
1749,29.1500,27
1750,29.1667,25
1751,29.1833,26
1752,29.2000,24
1753,29.2167,25
1754,29.2333,30
1755,29.2500,24
1756,29.2667,27
1757,29.2833,25
1758,29.3000,23
1759,29.3167,24
1760,29.3333,24
1761,29.3500,26
1762,29.3667,24
1763,29.3833,27
1764,29.4000,25
1765,29.4167,23
1766,29.4333,27
1767,29.4500,22
1768,29.4667,25
1769,29.4833,26
1770,29.5000,26
1771,29.5167,26
1772,29.5333,24
1773,29.5500,27
1774,29.5667,25
1775,29.5833,23
1776,29.6000,23
1777,29.6167,25
1778,29.6333,25
1779,29.6500,27
1780,29.6667,26
1781,29.6833,26
1782,29.7000,24
1783,29.7167,25
1784,29.7333,28
1785,29.7500,28
1786,29.7667,24
1787,29.7833,27
1788,29.8000,25
1789,29.8167,25
1790,29.8333,25
1791,29.8500,24
1792,29.8667,23
1793,29.8833,25
1794,29.9000,26
1795,29.9167,24
1796,29.9333,25
1797,29.9500,24
1798,29.9667,29
1799,29.9833,25
1800,30.0000,26
1801,30.0167,26
1802,30.0333,27
1803,30.0500,27
1804,30.0667,26
1805,30.0833,26
1806,30.1000,28
1807,30.1167,27
1808,30.1333,27
1809,30.1500,27
1810,30.1667,24
1811,30.1833,27
1812,30.2000,28
1813,30.2167,24
1814,30.2333,25
1815,30.2500,25
1816,30.2667,22
1817,30.2833,25
1818,30.3000,25
1819,30.3167,24
1820,30.3333,25
1821,30.3500,30
1822,30.3667,24
1823,30.3833,24
1824,30.4000,28
1825,30.4167,24
1826,30.4333,26
1827,30.4500,25
1828,30.4667,27
1829,30.4833,26
1830,30.5000,26
1831,30.5167,23
1832,30.5333,25
1833,30.5500,27
1834,30.5667,27
1835,30.5833,24
1836,30.6000,24
1837,30.6167,25
1838,30.6333,24
1839,30.6500,25
1840,30.6667,25
1841,30.6833,25
1842,30.7000,23
1843,30.7167,25
1844,30.7333,24
1845,30.7500,25
1846,30.7667,26
1847,30.7833,25
1848,30.8000,25
1849,30.8167,23
1850,30.8333,25
1851,30.8500,26
1852,30.8667,26
1853,30.8833,23
1854,30.9000,28
1855,30.9167,24
1856,30.9333,24
1857,30.9500,26
1858,30.9667,29
1859,30.9833,26
1860,31.0000,23
1861,31.0167,26
1862,31.0333,24
1863,31.0500,27
1864,31.0667,23
1865,31.0833,25
1866,31.1000,24
1867,31.1167,23
1868,31.1333,25
1869,31.1500,22
1870,31.1667,23
1871,31.1833,24
1872,31.2000,26
1873,31.2167,24
1874,31.2333,27
1875,31.2500,24
1876,31.2667,22
1877,31.2833,25
1878,31.3000,25
1879,31.3167,28
1880,31.3333,26
1881,31.3500,26
1882,31.3667,26
1883,31.3833,24
1884,31.4000,25
1885,31.4167,26
1886,31.4333,24
1887,31.4500,23
1888,31.4667,24
1889,31.4833,25
1890,31.5000,25
1891,31.5167,24
1892,31.5333,28
1893,31.5500,26
1894,31.5667,25
1895,31.5833,25
1896,31.6000,24
1897,31.6167,24
1898,31.6333,26
1899,31.6500,26
1900,31.6667,25
1901,31.6833,31
1902,31.7000,24
1903,31.7167,25
1904,31.7333,27
1905,31.7500,25
1906,31.7667,24
1907,31.7833,24
1908,31.8000,25
1909,31.8167,27
1910,31.8333,25
1911,31.8500,27
1912,31.8667,25
1913,31.8833,27
1914,31.9000,24
1915,31.9167,25
1916,31.9333,26
1917,31.9500,28
1918,31.9667,25
1919,31.9833,23
1920,32.0000,24
1921,32.0167,23
1922,32.0333,24
1923,32.0500,23
1924,32.0667,24
1925,32.0833,24
1926,32.1000,28
1927,32.1167,25
1928,32.1333,25
1929,32.1500,25
1930,32.1667,25
1931,32.1833,23
1932,32.2000,26
1933,32.2167,25
1934,32.2333,24
1935,32.2500,24
1936,32.2667,25
1937,32.2833,24
1938,32.3000,23
1939,32.3167,24
1940,32.3333,24
1941,32.3500,25
1942,32.3667,23
1943,32.3833,26
1944,32.4000,25
1945,32.4167,23
1946,32.4333,24
1947,32.4500,25
1948,32.4667,25
1949,32.4833,26
1950,32.5000,23
1951,32.5167,25
1952,32.5333,28
1953,32.5500,25
1954,32.5667,27
1955,32.5833,26
1956,32.6000,25
1957,32.6167,26
1958,32.6333,25
1959,32.6500,26
1960,32.6667,25
1961,32.6833,26
1962,32.7000,26
1963,32.7167,25
1964,32.7333,27
1965,32.7500,24
1966,32.7667,24
1967,32.7833,26
1968,32.8000,25
1969,32.8167,24
1970,32.8333,24
1971,32.8500,27
1972,32.8667,25
1973,32.8833,26
1974,32.9000,26
1975,32.9167,25
1976,32.9333,25
1977,32.9500,24
1978,32.9667,27
1979,32.9833,25
1980,33.0000,25
1981,33.0167,27
1982,33.0333,26
1983,33.0500,25
1984,33.0667,26
1985,33.0833,27
1986,33.1000,26
1987,33.1167,24
1988,33.1333,26
1989,33.1500,24
1990,33.1667,24
1991,33.1833,26
1992,33.2000,27
1993,33.2167,24
1994,33.2333,24
1995,33.2500,25
1996,33.2667,26
1997,33.2833,26
1998,33.3000,25
1999,33.3167,25
2000,33.3333,25
2001,33.3500,24
2002,33.3667,26
2003,33.3833,25
2004,33.4000,25
2005,33.4167,26
2006,33.4333,24
2007,33.4500,31
2008,33.4667,26
2009,33.4833,27
2010,33.5000,25
2011,33.5167,25
2012,33.5333,24
2013,33.5500,25
2014,33.5667,26
2015,33.5833,23
2016,33.6000,25
2017,33.6167,28
2018,33.6333,24
2019,33.6500,26
2020,33.6667,27
2021,33.6833,26
2022,33.7000,24
2023,33.7167,25
2024,33.7333,25
2025,33.7500,26
2026,33.7667,26
2027,33.7833,28
2028,33.8000,26
2029,33.8167,25
2030,33.8333,23
2031,33.8500,28
2032,33.8667,23
2033,33.8833,25
2034,33.9000,27
2035,33.9167,27
2036,33.9333,24
2037,33.9500,27
2038,33.9667,23
2039,33.9833,26
2040,34.0000,24
2041,34.0167,25
2042,34.0333,23
2043,34.0500,23
2044,34.0667,24
2045,34.0833,25
2046,34.1000,25
2047,34.1167,26
2048,34.1333,24
2049,34.1500,24
2050,34.1667,25
2051,34.1833,25
2052,34.2000,26
2053,34.2167,25
2054,34.2333,27
2055,34.2500,23
2056,34.2667,26
2057,34.2833,26
2058,34.3000,27
2059,34.3167,26
2060,34.3333,26
2061,34.3500,26
2062,34.3667,24
2063,34.3833,24
2064,34.4000,25
2065,34.4167,26
2066,34.4333,26
2067,34.4500,26
2068,34.4667,25
2069,34.4833,24
2070,34.5000,24
2071,34.5167,26
2072,34.5333,26
2073,34.5500,26
2074,34.5667,26
2075,34.5833,25
2076,34.6000,26
2077,34.6167,26
2078,34.6333,26
2079,34.6500,28
2080,34.6667,24
2081,34.6833,25
2082,34.7000,25
2083,34.7167,24
2084,34.7333,27
2085,34.7500,25
2086,34.7667,23
2087,34.7833,24
2088,34.8000,25
2089,34.8167,25
2090,34.8333,24
2091,34.8500,26
2092,34.8667,26
2093,34.8833,26
2094,34.9000,25
2095,34.9167,26
2096,34.9333,23
2097,34.9500,24
2098,34.9667,24
2099,34.9833,24
2100,35.0000,24
2101,35.0167,25
2102,35.0333,26
2103,35.0500,24
2104,35.0667,27
2105,35.0833,23
2106,35.1000,25
2107,35.1167,24
2108,35.1333,25
2109,35.1500,25
2110,35.1667,24
2111,35.1833,24
2112,35.2000,25
2113,35.2167,24
2114,35.2333,26
2115,35.2500,28
2116,35.2667,24
2117,35.2833,25
2118,35.3000,24
2119,35.3167,25
2120,35.3333,27
2121,35.3500,24
2122,35.3667,26
2123,35.3833,23
2124,35.4000,25
2125,35.4167,25
2126,35.4333,26
2127,35.4500,28
2128,35.4667,23
2129,35.4833,27
2130,35.5000,26
2131,35.5167,26
2132,35.5333,25
2133,35.5500,27
2134,35.5667,25
2135,35.5833,27
2136,35.6000,26
2137,35.6167,26
2138,35.6333,28
2139,35.6500,23
2140,35.6667,24
2141,35.6833,27
2142,35.7000,24
2143,35.7167,26
2144,35.7333,26
2145,35.7500,25
2146,35.7667,23
2147,35.7833,26
2148,35.8000,24
2149,35.8167,24
2150,35.8333,24
2151,35.8500,26
2152,35.8667,25
2153,35.8833,27
2154,35.9000,25
2155,35.9167,27
2156,35.9333,26
2157,35.9500,25
2158,35.9667,27
2159,35.9833,26
2160,36.0000,23
2161,36.0167,25
2162,36.0333,24
2163,36.0500,26
2164,36.0667,25
2165,36.0833,29
2166,36.1000,25
2167,36.1167,25
2168,36.1333,26
2169,36.1500,24
2170,36.1667,28
2171,36.1833,23
2172,36.2000,25
2173,36.2167,26
2174,36.2333,25
2175,36.2500,25
2176,36.2667,25
2177,36.2833,26
2178,36.3000,25
2179,36.3167,24
2180,36.3333,25
2181,36.3500,25
2182,36.3667,25
2183,36.3833,25
2184,36.4000,25
2185,36.4167,24
2186,36.4333,28
2187,36.4500,26
2188,36.4667,24
2189,36.4833,27
2190,36.5000,24
2191,36.5167,26
2192,36.5333,27
2193,36.5500,26
2194,36.5667,29
2195,36.5833,22
2196,36.6000,24
2197,36.6167,23
2198,36.6333,25
2199,36.6500,25
2200,36.6667,24
2201,36.6833,25
2202,36.7000,27
2203,36.7167,28
2204,36.7333,24
2205,36.7500,25
2206,36.7667,29
2207,36.7833,25
2208,36.8000,25
2209,36.8167,24
2210,36.8333,26
2211,36.8500,24
2212,36.8667,26
2213,36.8833,27
2214,36.9000,24
2215,36.9167,26
2216,36.9333,25
2217,36.9500,24
2218,36.9667,26
2219,36.9833,22
2220,37.0000,26
2221,37.0167,22
2222,37.0333,26
2223,37.0500,26
2224,37.0667,24
2225,37.0833,26
2226,37.1000,25
2227,37.1167,26
2228,37.1333,26
2229,37.1500,24
2230,37.1667,26
2231,37.1833,22
2232,37.2000,24
2233,37.2167,26
2234,37.2333,22
2235,37.2500,24
2236,37.2667,24
2237,37.2833,24
2238,37.3000,26
2239,37.3167,30
2240,37.3333,25
2241,37.3500,24
2242,37.3667,24
2243,37.3833,25
2244,37.4000,22
2245,37.4167,24
2246,37.4333,25
2247,37.4500,25
2248,37.4667,25
2249,37.4833,24
2250,37.5000,26
2251,37.5167,25
2252,37.5333,26
2253,37.5500,25
2254,37.5667,27
2255,37.5833,24
2256,37.6000,25
2257,37.6167,24
2258,37.6333,25
2259,37.6500,26
2260,37.6667,25
2261,37.6833,25
2262,37.7000,24
2263,37.7167,23
2264,37.7333,26
2265,37.7500,24
2266,37.7667,26
2267,37.7833,25
2268,37.8000,27
2269,37.8167,26
2270,37.8333,23
2271,37.8500,24
2272,37.8667,22
2273,37.8833,24
2274,37.9000,23
2275,37.9167,26
2276,37.9333,26
2277,37.9500,24
2278,37.9667,24
2279,37.9833,25
2280,38.0000,24
2281,38.0167,24
2282,38.0333,24
2283,38.0500,22
2284,38.0667,24
2285,38.0833,23
2286,38.1000,24
2287,38.1167,24
2288,38.1333,24
2289,38.1500,24
2290,38.1667,24
2291,38.1833,23
2292,38.2000,25
2293,38.2167,24
2294,38.2333,24
2295,38.2500,24
2296,38.2667,23
2297,38.2833,26
2298,38.3000,25
2299,38.3167,23
2300,38.3333,27
2301,38.3500,27
2302,38.3667,25
2303,38.3833,26
2304,38.4000,25
2305,38.4167,25
2306,38.4333,24
2307,38.4500,24
2308,38.4667,21
2309,38.4833,23
2310,38.5000,27
2311,38.5167,24
2312,38.5333,25
2313,38.5500,24
2314,38.5667,24
2315,38.5833,27
2316,38.6000,24
2317,38.6167,25
2318,38.6333,27
2319,38.6500,23
2320,38.6667,25
2321,38.6833,26
2322,38.7000,26
2323,38.7167,24
2324,38.7333,25
2325,38.7500,28
2326,38.7667,25
2327,38.7833,29
2328,38.8000,24
2329,38.8167,25
2330,38.8333,24
2331,38.8500,24
2332,38.8667,23
2333,38.8833,24
2334,38.9000,25
2335,38.9167,26
2336,38.9333,24
2337,38.9500,28
2338,38.9667,26
2339,38.9833,25
2340,39.0000,24
2341,39.0167,25
2342,39.0333,26
2343,39.0500,25
2344,39.0667,24
2345,39.0833,26
2346,39.1000,26
2347,39.1167,23
2348,39.1333,25
2349,39.1500,27
2350,39.1667,26
2351,39.1833,25
2352,39.2000,26
2353,39.2167,26
2354,39.2333,25
2355,39.2500,28
2356,39.2667,25
2357,39.2833,24
2358,39.3000,26
2359,39.3167,25
2360,39.3333,24
2361,39.3500,23
2362,39.3667,26
2363,39.3833,26
2364,39.4000,25
2365,39.4167,25
2366,39.4333,26
2367,39.4500,24
2368,39.4667,22
2369,39.4833,28
2370,39.5000,25
2371,39.5167,25
2372,39.5333,24
2373,39.5500,25
2374,39.5667,25
2375,39.5833,27
2376,39.6000,26
2377,39.6167,27
2378,39.6333,23
2379,39.6500,23
2380,39.6667,28
2381,39.6833,25
2382,39.7000,24
2383,39.7167,25
2384,39.7333,24
2385,39.7500,26
2386,39.7667,26
2387,39.7833,27
2388,39.8000,24
2389,39.8167,23
2390,39.8333,25
2391,39.8500,25
2392,39.8667,26
2393,39.8833,26
2394,39.9000,26
2395,39.9167,27
2396,39.9333,31
2397,39.9500,27
2398,39.9667,31
2399,39.9833,25
2400,40.0000,25
2401,40.0167,27
2402,40.0333,25
2403,40.0500,24
2404,40.0667,27
2405,40.0833,25
2406,40.1000,26
2407,40.1167,27
2408,40.1333,29
2409,40.1500,25
2410,40.1667,24
2411,40.1833,28
2412,40.2000,26
2413,40.2167,25
2414,40.2333,26
2415,40.2500,29
2416,40.2667,26
2417,40.2833,27
2418,40.3000,28
2419,40.3167,25
2420,40.3333,28
2421,40.3500,28
2422,40.3667,27
2423,40.3833,24
2424,40.4000,28
2425,40.4167,31
2426,40.4333,25
2427,40.4500,25
2428,40.4667,26
2429,40.4833,25
2430,40.5000,28
2431,40.5167,25
2432,40.5333,25
2433,40.5500,27
2434,40.5667,29
2435,40.5833,25
2436,40.6000,28
2437,40.6167,26
2438,40.6333,26
2439,40.6500,29
2440,40.6667,26
2441,40.6833,27
2442,40.7000,24
2443,40.7167,30
2444,40.7333,25
2445,40.7500,25
2446,40.7667,25
2447,40.7833,27
2448,40.8000,27
2449,40.8167,28
2450,40.8333,26
2451,40.8500,29
2452,40.8667,26
2453,40.8833,28
2454,40.9000,28
2455,40.9167,25
2456,40.9333,25
2457,40.9500,28
2458,40.9667,27
2459,40.9833,27
2460,41.0000,29
2461,41.0167,27
2462,41.0333,24
2463,41.0500,27
2464,41.0667,23
2465,41.0833,28
2466,41.1000,28
2467,41.1167,28
2468,41.1333,31
2469,41.1500,25
2470,41.1667,27
2471,41.1833,28
2472,41.2000,23
2473,41.2167,26
2474,41.2333,26
2475,41.2500,27
2476,41.2667,27
2477,41.2833,25
2478,41.3000,28
2479,41.3167,24
2480,41.3333,27
2481,41.3500,30
2482,41.3667,27
2483,41.3833,28
2484,41.4000,30
2485,41.4167,28
2486,41.4333,25
2487,41.4500,25
2488,41.4667,27
2489,41.4833,26
2490,41.5000,26
2491,41.5167,25
2492,41.5333,29
2493,41.5500,28
2494,41.5667,27
2495,41.5833,26
2496,41.6000,27
2497,41.6167,29
2498,41.6333,27
2499,41.6500,26
2500,41.6667,25
2501,41.6833,28
2502,41.7000,27
2503,41.7167,27
2504,41.7333,26
2505,41.7500,28
2506,41.7667,28
2507,41.7833,25
2508,41.8000,31
2509,41.8167,24
2510,41.8333,28
2511,41.8500,25
2512,41.8667,30
2513,41.8833,25
2514,41.9000,27
2515,41.9167,27
2516,41.9333,25
2517,41.9500,27
2518,41.9667,28
2519,41.9833,30
2520,42.0000,25
2521,42.0167,29
2522,42.0333,27
2523,42.0500,29
2524,42.0667,24
2525,42.0833,24
2526,42.1000,29
2527,42.1167,26
2528,42.1333,25
2529,42.1500,25
2530,42.1667,28
2531,42.1833,24
2532,42.2000,26
2533,42.2167,28
2534,42.2333,25
2535,42.2500,26
2536,42.2667,28
2537,42.2833,25
2538,42.3000,27
2539,42.3167,26
2540,42.3333,24
2541,42.3500,26
2542,42.3667,28
2543,42.3833,27
2544,42.4000,28
2545,42.4167,25
2546,42.4333,28
2547,42.4500,27
2548,42.4667,25
2549,42.4833,32
2550,42.5000,23
2551,42.5167,25
2552,42.5333,28
2553,42.5500,22
2554,42.5667,26
2555,42.5833,25
2556,42.6000,26
2557,42.6167,28
2558,42.6333,27
2559,42.6500,27
2560,42.6667,26
2561,42.6833,28
2562,42.7000,23
2563,42.7167,28
2564,42.7333,27
2565,42.7500,26
2566,42.7667,24
2567,42.7833,24
2568,42.8000,30
2569,42.8167,26
2570,42.8333,27
2571,42.8500,26
2572,42.8667,29
2573,42.8833,27
2574,42.9000,25
2575,42.9167,26
2576,42.9333,27
2577,42.9500,28
2578,42.9667,25
2579,42.9833,32
2580,43.0000,26
2581,43.0167,27
2582,43.0333,31
2583,43.0500,23
2584,43.0667,26
2585,43.0833,28
2586,43.1000,27
2587,43.1167,25
2588,43.1333,29
2589,43.1500,24
2590,43.1667,26
2591,43.1833,25
2592,43.2000,24
2593,43.2167,25
2594,43.2333,26
2595,43.2500,23
